country,iso_code,date,people_vaccinated,people_vaccinated_per_hundred
Afghanistan,AFG,2021-03-16,54000.0,0.14
Albania,ALB,2021-03-22,6073.0,0.21
Andorra,AND,2021-03-10,3650.0,4.72
Angola,AGO,2021-03-18,49000.0,0.15
Anguilla,AIA,2021-03-19,5348.0,35.65
Argentina,ARG,2021-03-22,2535054.0,5.61
Australia,AUS,2021-03-22,159294.0,0.62
Austria,AUT,2021-03-21,976948.0,10.85
Azerbaijan,AZE,2021-03-20,482664.0,4.76
Bahamas,BHS,2021-03-17,110.0,0.03
Bahrain,BHR,2021-03-22,428240.0,25.17
Bangladesh,BGD,2021-03-22,4911902.0,2.98
Barbados,BRB,2021-03-21,61752.0,21.49
Belarus,BLR,2021-03-12,20944.0,0.22
Belgium,BEL,2021-03-21,977985.0,8.44
Belize,BLZ,2021-03-19,15006.0,3.77
Bermuda,BMU,2021-03-15,18807.0,30.2
Bolivia,BOL,2021-03-21,148975.0,1.28
Brazil,BRA,2021-03-22,10609471.0,4.99
Bulgaria,BGR,2021-03-22,302517.0,4.35
Cambodia,KHM,2021-03-15,170659.0,1.02
Canada,CAN,2021-03-22,3464475.0,9.18
Cayman Islands,CYM,2021-03-22,27611.0,42.01
Chile,CHL,2021-03-22,5739672.0,30.03
Colombia,COL,2021-03-21,1157159.0,2.27
Costa Rica,CRI,2021-03-22,206198.0,4.05
Cote d'Ivoire,CIV,2021-03-22,24728.0,0.09
Croatia,HRV,2021-03-19,280622.0,6.84
Cyprus,CYP,2021-03-20,93475.0,10.67
Czechia,CZE,2021-03-22,1007422.0,9.41
Denmark,DNK,2021-03-21,636664.0,10.99
Dominica,DMA,2021-03-11,13565.0,18.84
Dominican Republic,DOM,2021-03-15,675000.0,6.22
Ecuador,ECU,2021-03-15,121054.0,0.69
El Salvador,SLV,2021-03-21,49000.0,0.76
England,OWID_ENG,2021-03-21,23854862.0,42.38
Equatorial Guinea,GNQ,2021-03-16,5765.0,0.41
Estonia,EST,2021-03-22,167488.0,12.63
Faeroe Islands,FRO,2021-03-22,5388.0,11.03
Falkland Islands,FLK,2021-02-22,1732.0,49.73
Finland,FIN,2021-03-22,733798.0,13.24
France,FRA,2021-03-21,6199118.0,9.1
Germany,DEU,2021-03-21,7517073.0,8.97
Ghana,GHA,2021-03-18,420000.0,1.35
Gibraltar,GIB,2021-03-22,30119.0,89.4
Greece,GRC,2021-03-22,997959.0,9.57
Greenland,GRL,2021-03-01,3927.0,6.92
Grenada,GRD,2021-03-15,8606.0,7.65
Guatemala,GTM,2021-03-21,69266.0,0.39
Guernsey,GGY,2021-03-12,21500.0,32.06
Guyana,GUY,2021-03-19,15524.0,1.97
Honduras,HND,2021-03-21,43073.0,0.43
Hong Kong,HKG,2021-03-22,379600.0,5.06
Hungary,HUN,2021-03-22,1636436.0,16.94
Iceland,ISL,2021-03-22,37953.0,11.12
India,IND,2021-03-22,40631153.0,2.94
Indonesia,IDN,2021-03-22,5732210.0,2.1
Iran,IRN,2021-03-19,10000.0,0.01
Ireland,IRL,2021-03-19,487466.0,9.87
Isle of Man,IMN,2021-03-18,21996.0,25.87
Israel,ISR,2021-03-22,5187471.0,59.93
Italy,ITA,2021-03-22,5477226.0,9.06
Jamaica,JAM,2021-03-16,16096.0,0.54
Japan,JPN,2021-03-22,623569.0,0.49
Jersey,JEY,2021-03-17,41741.0,41.3
Jordan,JOR,2021-03-21,209278.0,2.05
Kazakhstan,KAZ,2021-03-18,90748.0,0.48
Kenya,KEN,2021-03-17,20000.0,0.04
Kuwait,KWT,2021-03-08,322000.0,7.54
Laos,LAO,2021-03-17,40732.0,0.56
Latvia,LVA,2021-03-22,85904.0,4.55
Lebanon,LBN,2021-03-22,98022.0,1.44
Lithuania,LTU,2021-03-22,281871.0,10.35
Luxembourg,LUX,2021-03-21,56383.0,9.01
Macao,MAC,2021-03-21,36459.0,5.61
Malawi,MWI,2021-03-22,25589.0,0.13
Malaysia,MYS,2021-03-22,422058.0,1.3
Malta,MLT,2021-03-21,101451.0,22.98
Mauritius,MUS,2021-02-17,3843.0,0.3
Mexico,MEX,2021-03-22,5046896.0,3.91
Moldova,MDA,2021-03-21,20494.0,0.51
Monaco,MCO,2021-03-19,9750.0,24.84
Montenegro,MNE,2021-03-20,6837.0,1.09
Montserrat,MSR,2021-03-10,892.0,17.84
Morocco,MAR,2021-03-22,4264761.0,11.55
Mozambique,MOZ,2021-03-13,46439.0,0.15
Myanmar,MMR,2021-02-05,380000.0,0.7
Netherlands,NLD,2021-03-14,1394603.0,8.14
New Zealand,NZL,2021-03-17,27000.0,0.56
Nigeria,NGA,2021-03-15,8000.0,0.0
North Macedonia,MKD,2021-03-16,5300.0,0.25
Northern Ireland,OWID_NIR,2021-03-21,687528.0,36.31
Norway,NOR,2021-03-21,505688.0,9.33
Oman,OMN,2021-03-22,101818.0,1.99
Pakistan,PAK,2021-03-14,72882.0,0.03
Paraguay,PRY,2021-03-19,13326.0,0.19
Peru,PER,2021-03-21,478975.0,1.45
Philippines,PHL,2021-03-22,336656.0,0.31
Poland,POL,2021-03-21,3242462.0,8.57
Portugal,PRT,2021-03-22,903964.0,8.87
Romania,ROU,2021-03-21,1745105.0,9.07
Russia,RUS,2021-03-22,5620920.0,3.85
Rwanda,RWA,2021-03-22,338544.0,2.61
Saint Helena,SHN,2021-03-15,3107.0,51.18
Saint Kitts and Nevis,KNA,2021-03-19,7580.0,14.25
Saint Lucia,LCA,2021-03-19,20247.0,11.03
San Marino,SMR,2021-03-19,7888.0,23.24
Scotland,OWID_SCT,2021-03-21,2182400.0,39.95
Senegal,SEN,2021-03-21,159168.0,0.95
Serbia,SRB,2021-03-22,1313912.0,19.31
Seychelles,SYC,2021-03-18,62457.0,63.51
Singapore,SGP,2021-03-15,549254.0,9.39
Slovakia,SVK,2021-03-21,518694.0,9.5
Slovenia,SVN,2021-03-21,186170.0,8.96
South Africa,ZAF,2021-03-19,182983.0,0.31
South Korea,KOR,2021-03-22,680560.0,1.33
Spain,ESP,2021-03-22,4211040.0,9.01
Suriname,SUR,2021-03-22,13749.0,2.34
Sweden,SWE,2021-03-19,910425.0,9.01
Switzerland,CHE,2021-03-17,744681.0,8.6
Thailand,THA,2021-03-13,53842.0,0.08
Trinidad and Tobago,TTO,2021-02-27,991.0,0.07
Tunisia,TUN,2021-03-21,12496.0,0.11
Turkey,TUR,2021-03-22,8045789.0,9.54
Turks and Caicos Islands,TCA,2021-02-08,6433.0,16.62
Uganda,UGA,2021-03-21,23527.0,0.05
Ukraine,UKR,2021-03-22,121928.0,0.28
United Arab Emirates,ARE,2021-03-22,3480415.0,35.19
United Kingdom,GBR,2021-03-21,27997976.0,41.24
United States,USA,2021-03-22,82772416.0,24.75
Uruguay,URY,2021-03-22,344285.0,9.91
Venezuela,VEN,2021-03-04,12194.0,0.04
Vietnam,VNM,2021-03-22,36082.0,0.04
Wales,OWID_WLS,2021-03-21,1273186.0,40.38
Zimbabwe,ZWE,2021-03-22,43294.0,0.29
